peakid,pkname,pkname2,location,heightm,heightf,himal,region,open,unlisted,trekking,trekyear,restrict,phost,pstatus,pyear,pseason,pmonth,pday,pexpid,pcountry,psummiters,psmtnote
DUDH,Dudh Kundali,"Dui Tal Chuli, Two Lakes Peak",Jagdula Lekh (S of Kanjiroba Himal),6045,19833,Kanjiroba,Kanjiroba-Far West,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1953,Autumn,Nov,,DUDH53301,"Austria, Nepal, India","Herbert Tichy, Ajiba Sherpa, Gyalzen Sherpa, Pasang Dawa Lama, Pemba Sherpa",Climbed again in 1999 by French group
DWIJ,Dwijen Himal,,Shringi Himal (NE of Ghap village on Tibetan border),6169,20240,Ganesh/Shringi,Manaslu-Ganesh,TRUE,FALSE,FALSE,,Opened in 2014,Nepal & China,Unclimbed,,,,,,,Unclimbed,
DZA2,Dzanye II,,Janak Himal (S of Danzye Peak),6318,20728,Janak/Ohmi Kangri,Kangchenjunga-Janak,TRUE,FALSE,FALSE,,Opened in 2014,Nepal & China,Climbed,2015,Autumn,Oct,4,DZA215301,Japan,"Takanori Mashimo, Kotaro Myatsu, Kenta Kimura, Shinnosuke Ashikari, Shun Katsurai, Takehiro Nozawa",
DZAN,Dzanye,Dzanaye,Janak Himal (WNW of Lashar I on Tibetan border),6581,21591,Janak/Ohmi Kangri,Kangchenjunga-Janak,TRUE,FALSE,FALSE,,,Nepal & China,Climbed,1949,Spring,Jun,30,DZAN49101,Switzerland,"Alfred Sutter, Rene Dittert, Annelies Lohner, Jacob Pargaetzi-Almer, Edouard Wyss-Dunant",
DZAS,Dzasampatse,,Khumbu Himal (S of Pasang Lhamu Chuli),6295,20653,Khumbu,Khumbu-Rolwaling-Makalu,FALSE,TRUE,FALSE,,,Nepal only,Climbed,2004,Autumn,Oct,18,DZAS04301,Slovenia,"Urban Azman, Tadej Golob",
EKRA,Ek Rate Danda,,"Khumbu Himal (in Hongku Valley, S of Chamlang)",6213,20384,Khumbu,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,Opened in 2002,Nepal only,Unclimbed,,,,,,,Unclimbed,
EVER,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,29032,Khumbu,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,,Nepal & China,Climbed,1953,Spring,May,29,EVER53101,"New Zealand, India","Edmund Hillary, Tenzing Norgay Sherpa",
FANG,Fang,"Varaha Shikhar, Varaha Chuli, Finger",Annapurna Himal (SW of Annapurna I),7647,25089,Annapurna,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1980,Spring,May,17,FANG80101,"Austria, Nepal","Sepp Mayerl, Hermann Neumair, Ang Chepal Sherpa",
FIRN,Firnkopf,"Phirankoph, Firnkopf East",Saipal Himal (W of Saipal),6730,22080,Saipal,Kanjiroba-Far West,TRUE,FALSE,FALSE,,,Nepal only,Unclimbed,,,,,,,Unclimbed,
FIRW,Firnkopf West,Phirankoph West,Saipal Himal (WSW of Firnkopf),6745,22129,Saipal,Kanjiroba-Far West,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1987,Autumn,Oct,25,FIRW87301,"Austria, W Germany, Nepal","Franz Kroell, Fritz Mross, Ang Chopal Sherpa",Austrian Saipal expedition of 1954 may have reached Firnkopf West
FUTI,Futi Himal,,Damodar Himal (W of Bhrikuti),6425,21079,Damodar,Annapurna-Damodar-Peri,FALSE,TRUE,TRUE,,,Nepal only,Climbed,2014,Spring,May,16,FUTI14101,Portugal,"Pedro Guedes Viera, Sandra Lima Dos Reis, Oldemiro Lima Fortunato, Frederico Mohilla Salomao",
GAMA,Gama Peak,,"Dhaulagiri Himal (N of Dhaulagiri VI, S of Junction Peak)",7187,23579,Dhaulagiri,Dhaulagiri-Mukut,FALSE,TRUE,FALSE,,,Nepal only,Climbed,1970,Autumn,Oct,25,GAMA70301,Japan,"Goro Nabeyama, Katsuhiro Nakashima",
GAN1,Ganesh I,Yangra Kangri,Ganesh Himal (on Tibetan border),7422,24350,Ganesh/Shringi,Manaslu-Ganesh,TRUE,FALSE,FALSE,,,Nepal & China,Climbed,1955,Autumn,Oct,24,GAN155301,"Switzerland, France","Raymond Lambert, Eric Gauchat, Claude Kogan",
GAN2,Ganesh II,,Ganesh Himal (WSW of Ganesh I),7118,23353,Ganesh/Shringi,Manaslu-Ganesh,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1981,Autumn,Oct,16,GAN281302,"W Germany, Nepal","Hermann Warth, Ang Chepal Sherpa, Nga Temba Sherpa, Nima Tenzing Sherpa",Note: This mountain previously known as Ganesh III till re-surveyed in early 1990's.
GAN3,Ganesh III,"Salasungo, Kang Lombo, Lopsang Karbo",Ganesh Himal (S of Ganesh I on Tibetan border),7043,23107,Ganesh/Shringi,Manaslu-Ganesh,TRUE,FALSE,FALSE,,,Nepal & China,Climbed,1979,Autumn,Oct,19,GAN379301,"Japan, Nepal","Hideo Ogura, Pemba Tshering Sherpa, Dawa Norbu Sherpa",Note: This mountain previously known as Ganesh II till re-surveyed in early 1990's.
GAN4,Ganesh IV,Pabil,Ganesh Himal (SW of Ganesh I),7104,23307,Ganesh/Shringi,Manaslu-Ganesh,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1978,Autumn,Oct,20,GAN478301,"Japan, Nepal","T Tomita, H Yoshio, K Aoyagi, M Hashimoto, Y Hashimoto, Y Okuma, T Shimoji, T Suzuki, I Yasuda, Yogendra Thapa, Kamal Bhandari, Mingma Tenzing Sherpa, Sonan Wolang Sherpa",
GAN5,Ganesh V,,Ganesh Himal (SE of Ganesh I on Tibetan border),6770,22211,Ganesh/Shringi,Manaslu-Ganesh,TRUE,FALSE,FALSE,,,Nepal & China,Climbed,1980,Spring,Apr,21,GAN580101,"Japan, Nepal","Tatsumi Sasaki, Akihiko Komori, Lhakpa Dorje Sherpa, Nima Tenzing Sherpa, Nima Nuru Sherpa",
GAN6,Ganesh VI,,Ganesh Himal (subpeak SE of Ganesh II),6908,22664,Ganesh/Shringi,Manaslu-Ganesh,TRUE,FALSE,FALSE,,Opened in 2002,Nepal only,Climbed,2000,Spring,May,23,GAN600101,Japan,"Osamu Tanabe, Yasuhiro Hanatani",Possibly climbed in 1981 by Japanese Ganesh II team led by Hiroyashu Shirakabe
GAN7,Ganesh VII,,Ganesh Himal (E of Ganesh I in Tibet),6350,20833,Ganesh/Shringi,Manaslu-Ganesh,FALSE,TRUE,FALSE,,,China only,Unclimbed,,,,,,,Unclimbed?,
GANC,Ganchenpo,"Fluted Peak, Ganchempo",Jugal Himal (W of Dorje Lhakpa and Urkinmang),6378,20925,Jugal,Langtang-Jugal,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1971,Autumn,OctNov,,GANC71302,USA,"Terry Bech, Cheri Bech",
GAND,Gandharva Chuli,"Gandharbha, Gabelhorn Peak",Annapurna Himal (SSW of Annapurna III near Machhapuchhare),6248,20499,Annapurna,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,,,Nepal only,Climbed,2013,Spring,May,6,GAND13101,Romania,"Cosmin Andron, Christina Pogacean",
GANG,Gangapurna,,Annapurna Himal (NW of Annapurna III),7455,24459,Annapurna,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1965,Spring,May,6,GANG65101,"W Germany, Nepal","Gunter Hauser, Ludwig Greissl, Hermann Kollensperger, Erich Reismueller, Ang Temba Sherpa, Phu Dorje Sherpa",
GANW,Gangapurna West,"Lachenal Peak, Asapurna",Annapurna Himal (W of Gangapurna),7140,23425,Annapurna,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,,Opened in 2014,Nepal only,Unclimbed,,,,,,,Unclimbed?,
GAUG,Gaugiri,,Damodar Himal (N of Bhrikuti on Tibetan border),6110,20046,Damodar,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,,Opened in 2002,Nepal & China,Climbed,2002,Spring,May,28,GAUG02101,USA,"Peter Ackroyd, Jim Frush",
GAUR,Gaurishankar,Jomo Tseringma,Rolwaling Himal (on Tibetan border),7135,23409,Rolwaling,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,,Nepal & China,Climbed,1979,Spring,May,8,GAUR79101,"US, Nepal","John Roskelley, Dorje Sherpa",
GAUS,Gaurishankar South,Gauri,Rolwaling Himal (S of Gaurishankar),7010,22999,Rolwaling,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,Opened in 2014,Nepal only,Climbed,1979,Autumn,Nov,9,GAUS79301,UK,"Peter Boardman, Pemba Lama, Timothy Leach, Guy Neithardt",
GDNG,Gave Ding,,Changla Himal (N of Lachama Chuli on Tibetan border),6581,21591,Nalakankar/Chandi/Changla,Kanjiroba-Far West,FALSE,TRUE,FALSE,,Requires permit for Lachama Chuli,Nepal & China,Climbed,2015,Autumn,Oct,22,GDNG15301,UK,"Michael Fowler, Paul Ramsden",
GHAN,Ghhanyala Hies,,Janak Himal (NW of Janak Chuli on Tibetan border),6744,22126,Janak/Ohmi Kangri,Kangchenjunga-Janak,TRUE,FALSE,FALSE,,Opened in 2002,Nepal & China,Unclimbed,,,,,,,Unclimbed,
GHEN,Ghenge Liru,"Ghenye Lirung, Langtang II",Langtang Himal (WSW of Langtang Lirung),6596,21640,Langtang,Langtang-Jugal,TRUE,FALSE,FALSE,,Opened in 2002,Nepal only,Climbed,1963,Spring,May,28,GHEN63101,"UK, Nepal","Peter Taylor, Pasang Sherpa, Pasang Phutar Sherpa (I)",
GHUN,Ghustang North,,Dhaulagiri Himal (WNW of Gurja Himal),6529,21421,Dhaulagiri,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,,Opened in 2003,Nepal only,Climbed,1962,Autumn,Oct,22,GHUN62301,"UK, Nepal","J.O.M. Roberts, Ang Pema Sherpa, Nawang Dorje Sherpa",
GHUS,Ghustang South,"Gurja West, Paschim Himal",Dhaulagiri Himal (WSW of Gurja Himal),6465,21211,Dhaulagiri,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,,Opened in 2003,Nepal only,Climbed,2018,Autumn,Oct,23,GHUS18301,"France, Canada, Switzerland, Nepal","Corinne Amouillin-Gautier, Herve Barlier, Sophie Bellier, Dimitri Lomer, Albert Namiache, Charles Rossignol, Francois Schulz, Dipen Nuppa Bhote, Rajan Lama Bhote, Chettar Sherpa",
GHYM,Ghyuthumba Main,"Gutumpa, Pasang Peak",Jagdula Lekh (S of Kanjiroba Himal),5806,19049,Kanjiroba,Kanjiroba-Far West,FALSE,TRUE,FALSE,,,Nepal only,Climbed,1953,Autumn,Nov,,GHYM53301,"Austria, Nepal, India","Herbert Tichy, Ajiba Sherpa, Gyalzen Sherpa, Pasang Dawa Lama, Pemba Sherpa",
GHYN,Ghyun Himal I,,Mustang Himal (N of Ghyun Khola on Tibetan border),6110,20046,Mukut/Mustang,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,,Opened in 2014,Nepal & China,Unclimbed,,,,,,,Unclimbed,
GIME,Gimmigela Chuli East,Twins,Kangchenjunga Himal (N of Kangchenjunga on Indian border),7007,22989,Kangchenjunga/Simhalila,Kangchenjunga-Janak,FALSE,TRUE,FALSE,,Requires permit for Gimmigela Chuli,Nepal & India,Climbed,1993,Autumn,Oct,9,GIME93301,"Japan, Nepal","Hideo Koike, Masanori Sato, Taro Tanigawa, Chuldin Sherpa, Pasang Nima Sherpa, Phurba Sherpa",
GIMM,Gimmigela Chuli,Twins,Kangchenjunga Himal (N of Kangchenjunga on Indian border),7350,24114,Kangchenjunga/Simhalila,Kangchenjunga-Janak,TRUE,FALSE,FALSE,,,Nepal & India,Climbed,1994,Autumn,Oct,29,GIMM94301,"Japan, Nepal","Shigeru Yokokuwa, Dawa Wangchuk Sherpa, Pasang Gyalzen Sherpa, Pasang Tenzing Sherpa",
GLAC,Glacier Dome,"Tarke Kang, Tarke Khang",Annapurna Himal (E of Annapurna I),7168,23517,Annapurna,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1964,Autumn,Oct,16,GLAC64301,"Japan, Nepal","Mitsuhiro Nishimura, Dorje Sherpa",
GOJN,Gojung,Mugu Chuli,Kanti Himal (WNW of Kanti Himal peak on Tibetan border),6310,20702,Kanti/Palchung,Kanjiroba-Far West,FALSE,TRUE,FALSE,,,Nepal & China,Climbed,2011,Autumn,Oct,19,GOJN11301,UK,"Mick Fowler, Dave Turnbull",
GOLD,Goldum Peak,Pangri Goldumba,Jugal Himal (on Tibetan border),6632,21759,Jugal,Langtang-Jugal,TRUE,FALSE,FALSE,,Opened in 2014,Nepal & China,Climbed,2023,Spring,Apr,11,GOLD23101,Japan,"Jeong Ji-Hun, Park Jung-Yong, Son Ho-Sung",
GORH,Gorakh Himal,,Gorakh Himal (NE of Simikot on Tibetan border),6198,20335,Nalakankar/Chandi/Changla,Kanjiroba-Far West,TRUE,FALSE,FALSE,,Opened in 2002,Nepal & China,Unclimbed,,,,,,,Unclimbed,
GORK,Gorakh Khang,,Gorakh Khang (ENE of Simikot on Tibetan border),6254,20518,Nalakankar/Chandi/Changla,Kanjiroba-Far West,TRUE,FALSE,FALSE,,Opened in 2014,Nepal & China,Unclimbed,,,,,,,Unclimbed,
GURA,Guras,Gurans,Guras Himal (NE of Nampa on Tibetan border),6744,22126,Api/Byas Risi/Guras,Kanjiroba-Far West,TRUE,FALSE,FALSE,,Opened in 2014,Nepal & China,Unclimbed,,,,,,,Unclimbed,
GURJ,Gurja Himal,,Dhaulagiri Himal (S of Dhaulagiri VI),7193,23599,Dhaulagiri,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1969,Autumn,Nov,1,GURJ69301,"Japan, Nepal","Tomokuni Saeki, Lhakpa Tenzing Sherpa",
GURK,Gurkarpo Ri,,Jugal Himal (N of Dorje Lhakpa on Tibetan border),6889,22602,Jugal,Langtang-Jugal,TRUE,FALSE,FALSE,,,Nepal & China,Climbed,2007,Autumn,Nov,1,GURK07301,France,"Paul Grobel, Pierre-Olivier Dupuy, Marc Kia, Jean Francois Males",
GYAC,Gyachung Kang,,Khumbu Himal (E of Cho Oyu on Tibetan border),7861,25791,Khumbu,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,,Nepal & China,Climbed,1964,Spring,Apr,10,GYAC64101,"Japan, Nepal","Yukihiko Kato, Kiyoto Sakaizawa, Pasang Phutar Sherpa (I)",
GYAJ,Gyajikang,Gyaji Khang,Peri Himal (SW of Himlung Himal),7074,23209,Peri,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1994,Autumn,Oct,7,GYAJ94301,"Japan, Nepal","Toshisada Hasegawa, Yousuke Kokubo, Osamu Tanabe, Ram Kaji Sivakoti, Pasang Tshering Sherpa, Dambar Bahadur Gurung",
GYLA,Gyala,,Manaslu Himal (NNE of Larkya La on Tibetan border),6363,20876,Manaslu/Mansiri,Manaslu-Ganesh,TRUE,FALSE,FALSE,,Opened in 2014,Nepal & China,Unclimbed,,,,,,,Unclimbed,
GYLZ,Gyalzen Peak,Gyaltsen Peak,Jugal Himal (SE of Leonpo Gang on Tibetan border),6151,20180,Jugal,Langtang-Jugal,TRUE,FALSE,FALSE,,,Nepal & China,Climbed,2019,Spring,Apr,9,GYLZ19101,Nepal,"Maya Gurung, Min Bahadur Tamang, Sharmila Thapa, Tul Singh Gurung, Nar Bahadur Astani, Ash Bahadur Gurung, Samir Gurung",Climbed by Japanese in 1961 (then called Gumasi Peak)?
HCHI,Hungchhi,"Hunchhi, Chakung, Gyubanare Kang, Gyuba Tshomotse",Khumbu Himal (S of Gyachung Kang on Tibetan border),7029,23061,Khumbu,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,Opened in 2001,Nepal & China,Climbed,2003,Spring,Apr,19,HCHI03102,"Japan, Nepal","Katsuo Fukuhara, Tadashi Morita, Kanji Shimizu, Durga Rai, Hit Bahadur Tamang, Ram Kaji Tamang, Tul Bahadur Tamang",
HERZ,Herzog Peak,Khangsar Khang West,Annapurna Himal (WSW of Roc Noir),7555,24787,Annapurna,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,,Opened in 2014,Nepal only,Climbed,,,,,,,Climbed?,Likely climbed on traverses to ANNE
HIME,Himalchuli East,Himalchuli Main,Mansiri Himal (SE of Manaslu),7893,25896,Manaslu/Mansiri,Manaslu-Ganesh,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1960,Spring,May,24,HIME60101,Japan,"Masahiro Harada, Hisashi Tanabe",
HIMJ,Himjung,Nemjung Goth,Peri Himal (S of Himlung Himal),7092,23268,Peri,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,20,Opened in 2002,Nepal only,Climbed,2012,Autumn,Oct,12,HIMJ12301,S Korea,"Kim Chang-Ho, An Chi-Young",
HIML,Himlung Himal,,Peri Himal (NW of Manaslu near Tibetan border),7126,23379,Peri,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1992,Autumn,Oct,3,HIML92301,"Japan, Nepal","Osamu Hanai, Akio Koizumi, Nima Sherpa",Expeditions to Himlung prior to 1992 were probably climbing Nemjung
HIMN,Himalchuli North,,"Mansiri Himal (SE of Manaslu, WNW of Himalchuli Main)",7331,24052,Manaslu/Mansiri,Manaslu-Ganesh,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1985,Autumn,Oct,27,HIMN85302,"S Korea, Nepal","Lee Jae-Hong, Ang Pasang Sherpa, Jangbu Sherpa, Lhakpa Norbu Sherpa, Pasang Dawa Sherpa",
HIMW,Himalchuli West,,"Mansiri Himal (SE of Manaslu, W of Himalchuli Main)",7540,24738,Manaslu/Mansiri,Manaslu-Ganesh,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1978,Spring,May,7,HIMW78101,Japan,"Yoshio Ogata, Kazuhiro Sugeno",
HIUP,Hiunchuli,Patal Hiunchuli,Annapurna Himal (E of Annapurna South),6434,21109,Annapurna,Annapurna-Damodar-Peri,FALSE,FALSE,TRUE,1978,,Nepal only,Climbed,1971,Autumn,Oct,10,HIUP71301,USA,"Craig Anderson, Peter Cross, Jim Richards, John Skow, Lane Smith",
HMLE,Himlung East,,Peri Himal (E of Himlung Himal on Tibetan border),6932,22743,Peri,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,,Opened in 2014,Nepal & China,Climbed,2017,Spring,May,8,HMLE17101,"France, Nepal","Paulo Grobel, Isabelle Guillaume, Rajan Lama Bhote, Jangbu Sherpa",
HNKU,Hongku Chuli,"Hunku Chuli, Pyramid Peak","Khumbu Himal (in Hongku Valley, NE of Chamlang)",6833,22418,Khumbu,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,Opened in 2013?,Nepal only,Unclimbed,,,,,,,Unclimbed,
HONG,Hongde,"Hangde, Hongde Himal",Mukut Himal (N of Sita Chuchura in Hidden Valley),6556,21509,Mukut/Mustang,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1962,Spring,May,8,HONG62101,"Japan, Nepal","Shijiro Ishizaka, Zenkichi Hirayama, Takashi Miyahara, Ang Dawa Sherpa, Ang Temba Sherpa",
HONK,Hongku,"Hongku Chuli Nup, Honku, Sura Peak","Khumbu Himal (in Hongku Valley, W of Hongku Chuli)",6764,22192,Khumbu,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,Opened in 2003,Nepal only,Climbed,2015,Autumn,Oct,9,HONK15301,France,"Alberto Inurrategi Iriarte, Juan Vallejo Llanos, Miguel Zabalza Azkona",Likely first climbed in the 1980s
HUGO,Hulang Go,,Peri Himal (WNW of Ratna Chuli on Tibetan border),6687,21939,Peri,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,,Opened in 2014,Nepal & India,Climbed,2023,Autumn,Oct,22,HUGO23301,France,"Maud Vanpoulle, Damien Mandes, Victor Colombie, Firmin Fontaine, Aurelia Lanoe, Bastien Levy",
HUNK,Hunku,,Khumbu Himal (NNE of Peak 41),6119,20075,Khumbu,Khumbu-Rolwaling-Makalu,FALSE,TRUE,FALSE,,"Opened in 2002, delisted in 2013?",Nepal only,Climbed,2012,Autumn,Nov,11,HUNK12302,UK,"Nick Bullock, Andy Houseman",
IMJA,Imjatse,Island Peak,Khumbu Himal (S of Lhotse),6165,20226,Khumbu,Khumbu-Rolwaling-Makalu,FALSE,FALSE,FALSE,1978,,Nepal only,Climbed,1956,Spring,,,IMJA56101,"Switzerland, Nepal","Hansrudolf Von Gunten, 2 unknown Sherpas",1st ascent of SW Summit by UK (Hunt) in 1953. Imjatse may have been climbed in the 1951 or 1952 by members of Shipton's teams
JABR,Jabou Ri,,Rolwaling Himal (S of Tarkago),6166,20230,Rolwaling,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,Opened in 2014,Nepal only,Climbed,2015,Autumn,Sep,15,JABR15301,USA,"Ryan Waters, Eric Larsen",
JAGD,Jagdula,,Jagdula Lekh (S of Kande Hiunchuli),5761,18901,Kanjiroba,Kanjiroba-Far West,TRUE,FALSE,FALSE,,,Nepal only,Climbed,2013,Spring,Apr,30,JAGD13101,France,Francois Damilano,
JANE,Jannu East,Khumbhakarna East,Kangchenjunga Himal (W of Kangchenjunga),7460,24475,Kangchenjunga/Simhalila,Kangchenjunga-Janak,TRUE,FALSE,FALSE,,Requires Jannu permit,Nepal only,Unclimbed,,,,,,,Unclimbed,
JANK,Janak Chuli,"Janak, Outlier",Janak Himal (WNW of Jongsang on Tibetan border),7041,23100,Janak/Ohmi Kangri,Kangchenjunga-Janak,TRUE,FALSE,FALSE,,Opened in 2002,Nepal & China,Climbed,2006,Spring,May,6,JANK06101,Slovenia,"Andrej Stremfelj, Rok Zalokar",
JANU,Jannu,Kumbhakarna,Kangchenjunga Himal (W of Kangchenjunga),7711,25299,Kangchenjunga/Simhalila,Kangchenjunga-Janak,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1962,Spring,Apr,27,JANU62101,"France, Nepal","Rene Desmaison, Paul Keller, Robert Paragot, Gyalzen Mitchung Sherpa",
JARK,Jarkya,,Manaslu Himal (N of Larkya La on Tibetan border),6473,21237,Manaslu/Mansiri,Manaslu-Ganesh,TRUE,FALSE,FALSE,,Opened in 2014,Nepal & China,Unclimbed,,,,,,,Unclimbed,
JASG,Jasemba Goth,Dzasampa Kang,Khumbu Himal (NW of Pasang Lhamu Chuli),6730,22080,Khumbu,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,Opened in 2014,Nepal only,Climbed,1964,Spring,Apr,8,JASG64101,W Germany,"Georg Huber, Fritz Stammberger",
JETH,Jethi Bahurani,"Jettiborani, Jutibofurani",Api Himal (S of Nampa and Bobaye),6850,22474,Api/Byas Risi/Guras,Kanjiroba-Far West,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1978,Spring,Apr,27,JETH78101,Japan,"Kazuo Mitsui, Nobuhito Morota, Hideki Yoshida",
JING,Jinjang,"Genjang, Gajang, Jijang",Damodar Himal (E of Thorong La),6111,20049,Damodar,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,,Opened in 2002,Nepal only,Climbed,,,,,,,Climbed by Japanese in April 1983?,
JOBO,Jobo Rinjang,Jobo Ribjang,Rolwaling Himal (SW of Nangpa La near Tibetan border),6778,22238,Rolwaling,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,Opened in 2002,Nepal only,Climbed,2009,Spring,Apr,22,JOBO09101,USA,"Joe Puryear, David Gottlieb",
JOMS,Jomsom Himal,Jomsang Himal,Damodar Himal (WNW of Amotsang Himal),6335,20784,Damodar,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,,Opened in 2002,Nepal only,Climbed,2003,Autumn,Nov,4,JOMS03301,"France, Nepal","Hugues De Varax, Yves Exbrayat, Frederique Gaume, Paulo Grobel, Mingma Temba Sherpa",
JONG,Jongsang,"Jonsong, Jhinsang",Jongsang Himal (on Indian-Tibetan border),7462,24482,Jongsang,Kangchenjunga-Janak,TRUE,FALSE,FALSE,,,"Nepal, China & India",Climbed,1930,Spring,Jun,3,JONG30101,"Germany, Austria","Hermann Hoerlin, Erwin Schneider",
JUG1,Jugal 1,,Jugal Himal (E of Dorje Lakpa),6591,21624,Jugal,Langtang-Jugal,TRUE,FALSE,FALSE,,Opened in 2023,Nepal only,Climbed,2024,Spring,May,3,JUG124101,"S Korea, Nepal","Um Hong-Gil, Lama Babu Sherpa, Lakpa Dendi Sherpa",
JUG2,Jugal 2,,Jugal Himal (ENE of Dorje Lakpa),6518,21385,Jugal,Langtang-Jugal,TRUE,FALSE,FALSE,,Opened in 2023,Nepal only,Unclimbed,,,,,,,Unclimbed,
JUG3,Jugal 3,,Jugal Himal (SE of Dorje Lakpa),6184,20289,Jugal,Langtang-Jugal,TRUE,FALSE,FALSE,,Opened in 2023,Nepal only,Climbed,2024,Summer,Jun,11,JUG324201,"Japan, Nepal","Yoshio Kitajima, Phura Chhiri Sherpa",
JUG4,Jugal 4,,Jugal Himal (SSE of Dorje Lakpa),5936,19475,Jugal,Langtang-Jugal,TRUE,FALSE,FALSE,,Opened in 2023,Nepal only,Unclimbed,,,,,,,Unclimbed,
JUG5,Jugal 5,,Jugal Himal (W of Yangri),5922,19429,Jugal,Langtang-Jugal,TRUE,FALSE,FALSE,,Opened in 2023,Nepal only,Climbed,2023,Autumn,Oct,24,JUG523301,"USA, Mexico, Nepal","Tenzing Jangbu Sherpa, Nima Gyalzen Sherpa, Sajja Chaulagain, Jaime Salinas Magana, Pemba Dorje Sherpa",
JUNC,Junction Peak,,"Dhaulagiri Himal (on ridge joining Dhaulagiri VI, IV and Churen)",7133,23402,Dhaulagiri,Dhaulagiri-Mukut,FALSE,TRUE,FALSE,,,Nepal only,Unclimbed,,,,,,,Unclimbed,
JYAC,Jyachhung,,Byas Risi Himal (NNW of Nampa on Tibetan border),6388,20958,Api/Byas Risi/Guras,Kanjiroba-Far West,TRUE,FALSE,FALSE,,Opened in 2014,Nepal & China,Unclimbed,,,,,,,Unclimbed,
KABD,Kabru Dome,,Simhalila Himal (SE of Kabru in India),6600,21654,Kangchenjunga/Simhalila,Kangchenjunga-Janak,FALSE,TRUE,FALSE,,,India only,Climbed,1982,Autumn,Sep,24,KABD82301,India,"Mahabir Thakur, Tshering Lobsang, K. N. Singh, Gautam Dutta, P. Bhotia, Umeshari Devi",1st ascent claimed by India (Biswas) but not recognized
KABN,Kabru North,,Simhalila Himal (S of Kabru Main on Indian border),7338,24075,Kangchenjunga/Simhalila,Kangchenjunga-Janak,FALSE,TRUE,FALSE,,,Nepal & India,Climbed,1935,Autumn,Nov,18,KABN35301,UK,C. R. (Reggie) Cooke,"Possible ascent by UK & Swiss (W. W. Graham, Emil Boss, Ulrich Kauffman) in 1883 (AJ, 219-228 (2009), Willy Blaser & Glyn Hughes"
KABR,Kabru Main,Kabru Central,Simhalila Himal (S of Talung on Indian border),7412,24318,Kangchenjunga/Simhalila,Kangchenjunga-Janak,TRUE,FALSE,FALSE,,Opened in 2014,Nepal & India,Climbed,1994,Spring,May,12,KABR94101,India,"Dan Singh, 2 unknown members",
KABS,Kabru South,Kabru IV,Simhalila Himal (S of Kabru North on Indian border),7318,24009,Kangchenjunga/Simhalila,Kangchenjunga-Janak,TRUE,FALSE,FALSE,,Opened in 2003,Nepal & India,Climbed,1994,Spring,May,12,KABS94101,India,"S. P. Malik, N. Arshad, 11 members",
